,equity
2006-03-31,1.0344961267359067
2006-04-30,1.0723647003852415
2006-05-31,1.0171804492846368
2006-06-30,1.0083274593545448
2006-07-31,1.0042255036450471
2006-08-31,1.0173596050879907
2006-09-30,1.0152846293608895
2006-10-31,1.054308038917522
2006-11-30,1.0943241313175025
2006-12-31,1.1059233756250932
2007-01-31,1.1295194559414918
2007-02-28,1.1149614092249602
2007-03-31,1.1374186998610951
2007-04-30,1.1775230583079388
2007-05-31,1.212367096120287
2007-06-30,1.1925040636379312
2007-07-31,1.157408431643621
2007-08-31,1.1655783769315484
2007-09-30,1.2385544367589592
2007-10-31,1.2926408412261252
2007-11-30,1.237876987523535
2007-12-31,1.2634049067953148
2008-01-31,1.2152833603694522
2008-02-29,1.2601934065492644
2008-03-31,1.2184991846485216
2008-04-30,1.2405676620320505
2008-05-31,1.2759487584157319
2008-06-30,1.3191163592948887
2008-07-31,1.2439745754638272
2008-08-31,1.174026622654867
2008-09-30,1.1077325381236673
2008-10-31,0.9952068478618743
2008-11-30,1.0019173489425783
2008-12-31,1.0577992878519455
2009-01-31,1.0309940871553307
2009-02-28,1.00212024436124
2009-03-31,1.0222171327899834
2009-04-30,1.0200473256985692
2009-05-31,1.071886489888111
2009-06-30,1.0742034476030224
2009-07-31,1.099017405639639
2009-08-31,1.1050491509082903
2009-09-30,1.1557403910746036
2009-10-31,1.134363008700279
2009-11-30,1.225630386416979
2009-12-31,1.2592280314681472
2010-01-31,1.1638168002935376
2010-02-28,1.213193596877768
2010-03-31,1.3072206397403447
2010-04-30,1.3567926186641583
2010-05-31,1.2395542592031195
2010-06-30,1.155900015829838
2010-07-31,1.1984156950202904
2010-08-31,1.1990954629185604
2010-09-30,1.3024976673414501
2010-10-31,1.3405409396721928
2010-11-30,1.3727927349939357
2010-12-31,1.4581199732102985
2011-01-31,1.4329776163605665
2011-02-28,1.532278757864505
2011-03-31,1.5449401464267223
2011-04-30,1.644664913393866
2011-05-31,1.5605340392251168
2011-06-30,1.5183343931796218
2011-07-31,1.5128663639104996
2011-08-31,1.4166792183328794
2011-09-30,1.251738068022608
2011-10-31,1.3898306582391706
2011-11-30,1.3888737097318455
2011-12-31,1.3755732369530496
2012-01-31,1.3997679908756644
2012-02-29,1.4036805104593588
2012-03-31,1.4011924315779372
2012-04-30,1.4157388019332269
2012-05-31,1.4033964201278828
2012-06-30,1.4307022219484202
2012-07-31,1.4575559375214167
2012-08-31,1.471085186793526
2012-09-30,1.4898520767309582
2012-10-31,1.4554100001716608
2012-11-30,1.4668077178064365
2012-12-31,1.4825646161089228
2013-01-31,1.5528327023559194
2013-02-28,1.546259176735327
2013-03-31,1.5982141182929568
2013-04-30,1.6404687564070668
2013-05-31,1.6704359056817408
2013-06-30,1.6355013191925807
2013-07-31,1.733972486068902
2013-08-31,1.676566930752539
2013-09-30,1.7722155665255581
2013-10-31,1.830111521406033
2013-11-30,1.8815166289776681
2013-12-31,1.9325915371987488
2014-01-31,1.8732834696794702
2014-02-28,1.9660411848965091
2014-03-31,1.9672747468328962
2014-04-30,1.9513914478483287
2014-05-31,1.9981063723824557
2014-06-30,2.0515367023374207
2014-07-31,2.0024348806958328
2014-08-31,2.0807740710073546
2014-09-30,2.033830172380761
2014-10-31,2.074237009509566
2014-11-30,2.1543586631526908
2014-12-31,2.1439598106673476
2015-01-31,2.1705292499157864
2015-02-28,2.2550582842320943
2015-03-31,2.2371671856487745
2015-04-30,2.233938173989206
2015-05-31,2.2891863877760845
2015-06-30,2.2060867600240512
2015-07-31,2.2185832778119616
2015-08-31,2.06903236737885
2015-09-30,2.021871722735545
2015-10-31,2.1500110854432815
2015-11-30,2.1427748600680463
2015-12-31,2.134680258929426
2016-01-31,2.0145084902572985
2016-02-29,1.9946482236332401
2016-03-31,2.056856293359483
2016-04-30,2.1178206904165746
2016-05-31,2.1478699282539715
2016-06-30,2.3234764668723153
2016-07-31,2.4155595392691627
2016-08-31,2.324534941618027
2016-09-30,2.3485300693676154
2016-10-31,2.274825689258561
2016-11-30,2.19563916884665
2016-12-31,2.2154026328996523
2017-01-31,2.2854120033248044
