date,open,high,low,close,close_raw,volume
1997-05-28,20.625,21.375,20.625,7.081458568572998,21.0,1862700
1997-05-29,21.0,21.375,21.0,7.207915782928467,21.375,296800
1997-05-30,21.125,22.125,21.125,7.418673515319824,22.0,220400
1997-06-02,22.125,22.25,21.5,7.418673515319824,22.0,66800
1997-06-03,21.75,22.125,21.625,7.460819244384766,22.125,180000
1997-06-04,22.25,22.25,21.75,7.376519203186035,21.875,99900
1997-06-05,21.5,21.875,21.25,7.376519203186035,21.875,291600
1997-06-06,21.5,21.5,21.5,7.250067710876465,21.5,0
1997-06-09,21.5,21.5,21.5,7.250067710876465,21.5,0
1997-06-10,21.5,21.75,21.5,7.334368705749512,21.75,57600
1997-06-11,21.375,21.625,21.125,7.165764331817627,21.25,146600
1997-06-12,21.25,21.625,21.125,7.207915782928467,21.375,73300
1997-06-13,21.25,21.375,21.25,7.165764331817627,21.25,134200
1997-06-16,21.25,21.625,21.25,7.292217254638672,21.625,73200
1997-06-17,21.375,21.5,21.375,7.207915782928467,21.375,53300
1997-06-18,21.5,21.625,21.375,7.250067710876465,21.5,54100
1997-06-19,21.5,21.625,21.5,7.250067710876465,21.5,44100
1997-06-20,21.5,21.75,21.5,7.292217254638672,21.625,37800
1997-06-23,21.625,21.875,21.375,7.207915782928467,21.375,80800
1997-06-24,21.5,21.5,21.25,7.250067710876465,21.5,116000
1997-06-25,21.5,21.625,21.25,7.292217254638672,21.625,127400
1997-06-26,21.625,21.75,21.5,7.292217254638672,21.625,52100
1997-06-27,21.5,21.875,21.375,7.334368705749512,21.75,44500
1997-06-30,21.75,21.875,21.375,7.376519203186035,21.875,60300
1997-07-01,21.625,22.625,21.625,7.587277412414551,22.5,121300
1997-07-02,22.5,22.5,22.125,7.587277412414551,22.5,77300
1997-07-03,22.625,22.75,22.375,7.671580791473389,22.75,46000
1997-07-07,22.75,23.0,22.625,7.671580791473389,22.75,122200
1997-07-08,22.75,22.75,22.375,7.671580791473389,22.75,50400
1997-07-09,22.75,22.875,22.5,7.671580791473389,22.75,97000
1997-07-10,22.75,22.875,22.625,7.671580791473389,22.75,99000
1997-07-11,22.75,22.875,22.25,7.713732242584228,22.875,136100
1997-07-14,22.875,23.875,22.875,7.924488544464111,23.5,106600
1997-07-15,23.25,24.0,23.25,8.008794784545898,23.75,85400
1997-07-16,24.0,24.25,23.75,8.093096733093262,24.0,68800
1997-07-17,23.75,24.125,23.625,8.050943374633789,23.875,53000
1997-07-18,23.75,23.875,23.75,8.050943374633789,23.875,126500
1997-07-21,23.875,24.0,23.75,8.093096733093262,24.0,111800
1997-07-22,24.0,24.0,23.75,8.093096733093262,24.0,38800
1997-07-23,24.0,24.25,23.875,8.177397727966309,24.25,180000
1997-07-24,24.0,24.125,24.0,8.093096733093262,24.0,47600
1997-07-25,24.125,24.25,24.0,8.177397727966309,24.25,25500
1997-07-28,24.25,24.5,24.125,8.177397727966309,24.25,96800
