date,open,high,low,close,close_raw,volume
1970-01-02,6.40625,6.75,6.40625,0.2232785671949386,6.75,73200.0
1970-01-05,6.8125,7.03125,6.8125,0.2325820028781891,7.03125,130800.0
1970-01-06,7.03125,7.15625,6.8125,0.2294808179140091,6.9375,312400.0
1970-01-07,6.90625,6.90625,6.8125,0.226379781961441,6.84375,51600.0
1970-01-08,6.84375,6.9375,6.8125,0.226379781961441,6.84375,79200.0
1970-01-09,6.84375,6.90625,6.8125,0.2284470349550247,6.90625,45600.0
1970-01-12,6.90625,6.90625,6.84375,0.2274132817983627,6.875,51200.0
1970-01-13,6.875,6.875,6.71875,0.2222448587417602,6.71875,136800.0
1970-01-14,6.71875,6.78125,6.65625,0.2222448587417602,6.71875,61600.0
1970-01-15,6.71875,6.71875,6.5625,0.2170764505863189,6.5625,85200.0
1970-01-16,6.5625,6.59375,6.5,0.2160428017377853,6.53125,158000.0
1970-01-19,6.5625,6.6875,6.5625,0.2212112098932266,6.6875,56000.0
1970-01-20,6.6875,6.84375,6.625,0.226379781961441,6.84375,93600.0
1970-01-21,6.8125,6.8125,6.71875,0.2222448587417602,6.71875,86800.0
1970-01-22,6.71875,6.71875,6.65625,0.2222448587417602,6.71875,70000.0
1970-01-23,6.71875,6.78125,6.65625,0.2232785671949386,6.75,60000.0
1970-01-26,6.75,6.8125,6.75,0.225345954298973,6.8125,59600.0
1970-01-27,6.8125,6.90625,6.75,0.2243123203516006,6.78125,74000.0
1970-01-28,6.78125,6.8125,6.65625,0.2212112098932266,6.6875,53200.0
1970-01-29,6.6875,6.8125,6.625,0.225345954298973,6.8125,53600.0
1970-01-30,6.8125,6.8125,6.71875,0.2232785671949386,6.75,44400.0
1970-02-02,6.75,6.8125,6.65625,0.224217027425766,6.75,50800.0
1970-02-03,6.75,6.78125,6.65625,0.2221409976482391,6.6875,33200.0
1970-02-04,6.6875,6.75,6.6875,0.224217027425766,6.75,35200.0
1970-02-05,6.71875,6.71875,6.625,0.2221409976482391,6.6875,56400.0
1970-02-06,6.6875,6.71875,6.625,0.2231789678335189,6.71875,37600.0
1970-02-09,6.71875,6.71875,6.65625,0.2231789678335189,6.71875,59200.0
1970-02-10,6.71875,6.71875,6.65625,0.2231789678335189,6.71875,34800.0
1970-02-11,6.71875,6.71875,6.65625,0.2221409976482391,6.6875,40000.0
1970-02-12,6.6875,6.71875,6.65625,0.2211027890443802,6.65625,35200.0
1970-02-13,6.65625,6.6875,6.59375,0.2190266996622085,6.59375,61600.0
1970-02-16,6.59375,6.6875,6.5625,0.2190266996622085,6.59375,44800.0
1970-02-17,6.59375,6.6875,6.5625,0.2200648635625839,6.625,36800.0
1970-02-18,6.625,6.6875,6.59375,0.2200648635625839,6.625,47200.0
1970-02-19,6.625,6.71875,6.625,0.2221409976482391,6.6875,30400.0
1970-02-20,6.6875,6.71875,6.625,0.2231789678335189,6.71875,59200.0
1970-02-24,6.71875,6.71875,6.65625,0.2221409976482391,6.6875,56400.0
1970-02-25,6.6875,6.78125,6.6875,0.224217027425766,6.75,72400.0
1970-02-26,6.75,6.8125,6.75,0.224217027425766,6.75,44800.0
1970-02-27,6.78125,6.875,6.78125,0.2283691614866256,6.875,42000.0
1970-03-02,6.875,6.9375,6.84375,0.229407250881195,6.90625,56000.0
