date,open,high,low,close,close_raw,volume
1975-11-17,2.625,2.625,2.625,0.6450151801109314,2.625,4000.0
1975-11-18,2.5625,2.5625,2.5625,0.629657506942749,2.5625,39200.0
1975-11-19,2.53125,2.53125,2.53125,0.6219789385795593,2.53125,22400.0
1975-11-20,2.46875,2.46875,2.46875,0.6066214442253113,2.46875,24800.0
1975-11-21,2.5,2.5,2.5,0.6143001914024353,2.5,22400.0
1975-11-24,2.46875,2.46875,2.46875,0.6066214442253113,2.46875,5600.0
1975-11-25,2.46875,2.46875,2.46875,0.6066214442253113,2.46875,24000.0
1975-11-26,2.40625,2.40625,2.40625,0.5912639498710632,2.40625,35200.0
1975-11-28,2.375,2.375,2.375,0.5835852026939392,2.375,19200.0
1975-12-01,2.375,2.375,2.375,0.5835852026939392,2.375,7200.0
1975-12-02,2.3125,2.3125,2.3125,0.5682274103164673,2.3125,24000.0
1975-12-03,2.21875,2.21875,2.21875,0.54519122838974,2.21875,40800.0
1975-12-04,2.21875,2.21875,2.21875,0.54519122838974,2.21875,16000.0
1975-12-05,2.15625,2.15625,2.15625,0.5298342108726501,2.15625,36000.0
1975-12-08,2.15625,2.15625,2.15625,0.5298342108726501,2.15625,37600.0
1975-12-09,2.1875,2.1875,2.1875,0.5375128984451294,2.1875,64000.0
1975-12-10,2.1875,2.1875,2.1875,0.5375128984451294,2.1875,22400.0
1975-12-11,2.1875,2.1875,2.1875,0.5375128984451294,2.1875,15200.0
1975-12-12,2.25,2.25,2.25,0.5528702735900879,2.25,119200.0
1975-12-15,2.21875,2.21875,2.21875,0.54519122838974,2.21875,45600.0
1975-12-16,2.21875,2.21875,2.21875,0.54519122838974,2.21875,53600.0
1975-12-17,2.25,2.25,2.25,0.5528702735900879,2.25,47200.0
1975-12-18,2.28125,2.28125,2.28125,0.5605487823486328,2.28125,26400.0
1975-12-19,2.28125,2.28125,2.28125,0.5605487823486328,2.28125,8000.0
1975-12-22,2.28125,2.28125,2.28125,0.5605487823486328,2.28125,24800.0
1975-12-23,2.28125,2.28125,2.28125,0.5605487823486328,2.28125,52000.0
1975-12-24,2.28125,2.28125,2.28125,0.5605487823486328,2.28125,8800.0
1975-12-26,2.34375,2.34375,2.34375,0.5759062170982361,2.34375,12800.0
1975-12-29,2.34375,2.34375,2.34375,0.5759062170982361,2.34375,8800.0
1975-12-30,2.34375,2.34375,2.34375,0.5759062170982361,2.34375,20000.0
1975-12-31,2.34375,2.34375,2.34375,0.5759062170982361,2.34375,12000.0
1976-01-02,2.3125,2.3125,2.3125,0.5682274103164673,2.3125,4800.0
1976-01-05,2.375,2.375,2.375,0.5835852026939392,2.375,27200.0
1976-01-06,2.53125,2.53125,2.53125,0.6219789385795593,2.53125,65600.0
1976-01-07,2.53125,2.53125,2.53125,0.6219789385795593,2.53125,25600.0
1976-01-08,2.5625,2.5625,2.5625,0.629657506942749,2.5625,13600.0
1976-01-09,2.53125,2.53125,2.53125,0.6219789385795593,2.53125,24800.0
1976-01-12,2.5625,2.5625,2.5625,0.629657506942749,2.5625,35200.0
1976-01-13,2.625,2.625,2.625,0.6450151801109314,2.625,23200.0
1976-01-14,2.75,2.75,2.75,0.6757302284240723,2.75,50400.0
1976-01-15,2.6875,2.6875,2.6875,0.6603728532791138,2.6875,52800.0
1976-01-16,2.8125,2.8125,2.8125,0.6910879611968994,2.8125,48000.0
1976-01-19,2.8125,2.8125,2.8125,0.6910879611968994,2.8125,17600.0
1976-01-20,2.78125,2.78125,2.78125,0.6834089756011963,2.78125,25600.0
1976-01-21,2.75,2.75,2.75,0.6757302284240723,2.75,19200.0
1976-01-22,2.6875,2.6875,2.6875,0.6603728532791138,2.6875,23200.0
1976-01-23,2.71875,2.71875,2.71875,0.6680513620376587,2.71875,32000.0
1976-01-26,2.75,2.75,2.75,0.6757302284240723,2.75,31200.0
1976-01-27,2.75,2.75,2.75,0.6757302284240723,2.75,13600.0
1976-01-28,2.75,2.75,2.75,0.6757302284240723,2.75,4800.0
1976-01-29,2.75,2.8125,2.71875,0.6680513620376587,2.71875,17600.0
1976-01-30,2.75,2.84375,2.75,0.6757302284240723,2.75,24800.0
1976-02-02,2.78125,2.875,2.78125,0.6834089756011963,2.78125,18400.0
1976-02-03,2.90625,3.0,2.90625,0.7141237854957581,2.90625,26400.0
1976-02-04,2.9375,3.03125,2.9375,0.721802830696106,2.9375,16000.0
1976-02-05,2.96875,3.0625,2.96875,0.7294818162918091,2.96875,39200.0
1976-02-06,2.96875,3.0,2.90625,0.7141237854957581,2.90625,24800.0
1976-02-09,2.90625,3.0,2.90625,0.7141237854957581,2.90625,11200.0
1976-02-10,2.90625,3.0,2.90625,0.7141237854957581,2.90625,4000.0
1976-02-11,2.9375,3.03125,2.9375,0.721802830696106,2.9375,7200.0
1976-02-12,2.9375,3.0,2.90625,0.7141237854957581,2.90625,5600.0
1976-02-13,2.90625,3.0,2.90625,0.7141237854957581,2.90625,4800.0
1976-02-17,2.90625,2.96875,2.875,0.7064448595046997,2.875,22400.0
1976-02-18,2.875,2.9375,2.84375,0.6987663507461548,2.84375,8000.0
1976-02-19,2.875,2.96875,2.875,0.7064448595046997,2.875,20000.0
1976-02-20,2.875,2.96875,2.875,0.7064448595046997,2.875,16000.0
1976-02-23,2.875,2.96875,2.875,0.7064448595046997,2.875,12800.0
1976-02-24,2.875,2.96875,2.875,0.7064448595046997,2.875,16800.0
1976-02-25,2.875,2.96875,2.875,0.7064448595046997,2.875,24800.0
1976-02-26,2.875,2.9375,2.84375,0.6987663507461548,2.84375,32800.0
1976-02-27,2.84375,2.9375,2.84375,0.6987663507461548,2.84375,8800.0
1976-03-01,2.84375,2.9375,2.84375,0.6987663507461548,2.84375,1600.0
1976-03-02,2.875,2.96875,2.875,0.7064448595046997,2.875,13600.0
1976-03-03,2.875,2.96875,2.875,0.7064448595046997,2.875,18400.0
1976-03-04,2.875,2.96875,2.875,0.7064448595046997,2.875,12800.0
1976-03-05,2.875,2.96875,2.875,0.7064448595046997,2.875,10400.0
1976-03-08,2.875,2.9375,2.84375,0.6987663507461548,2.84375,20000.0
1976-03-09,2.84375,2.9375,2.84375,0.6987663507461548,2.84375,29600.0
1976-03-10,2.875,2.96875,2.875,0.7064448595046997,2.875,17600.0
1976-03-11,2.9375,3.03125,2.9375,0.721802830696106,2.9375,18400.0
1976-03-12,2.9375,3.03125,2.9375,0.721802830696106,2.9375,23200.0
1976-03-15,2.9375,3.0,2.90625,0.7141237854957581,2.90625,23200.0
1976-03-16,2.90625,3.0,2.90625,0.7141237854957581,2.90625,20800.0
1976-03-17,2.90625,3.0,2.90625,0.7141237854957581,2.90625,16800.0
1976-03-18,2.90625,3.0,2.90625,0.7141237854957581,2.90625,6400.0
1976-03-19,2.90625,3.0,2.90625,0.7141237854957581,2.90625,11200.0
1976-03-22,2.9375,3.03125,2.9375,0.721802830696106,2.9375,14400.0
1976-03-23,2.9375,3.03125,2.9375,0.721802830696106,2.9375,18400.0
1976-03-24,2.9375,3.0,2.90625,0.7141237854957581,2.90625,18400.0
1976-03-25,2.90625,3.0,2.90625,0.7141237854957581,2.90625,14400.0
1976-03-26,2.90625,2.96875,2.875,0.7064448595046997,2.875,7200.0
1976-03-29,2.875,2.96875,2.875,0.7064448595046997,2.875,8800.0
1976-03-30,2.875,2.96875,2.875,0.7064448595046997,2.875,18400.0
1976-03-31,2.875,2.9375,2.84375,0.6987663507461548,2.84375,3200.0
1976-04-01,2.84375,2.9375,2.84375,0.6987663507461548,2.84375,11200.0
1976-04-02,2.84375,2.9375,2.84375,0.6987663507461548,2.84375,4000.0
1976-04-05,2.84375,2.9375,2.84375,0.6987663507461548,2.84375,4000.0
1976-04-06,2.84375,2.9375,2.84375,0.6987663507461548,2.84375,8000.0
1976-04-07,2.84375,2.9375,2.84375,0.6987663507461548,2.84375,12800.0
1976-04-08,2.84375,2.9375,2.84375,0.6987663507461548,2.84375,52800.0
1976-04-09,2.84375,2.875,2.78125,0.6834089756011963,2.78125,23200.0
1976-04-12,2.78125,2.875,2.78125,0.6834089756011963,2.78125,13600.0
1976-04-13,2.8125,2.90625,2.8125,0.6910879611968994,2.8125,17600.0
1976-04-14,2.8125,2.90625,2.8125,0.6910879611968994,2.8125,4000.0
1976-04-15,2.8125,2.875,2.78125,0.6834089756011963,2.78125,17600.0
1976-04-19,2.78125,2.8125,2.71875,0.6680513620376587,2.71875,20800.0
1976-04-20,2.71875,2.8125,2.71875,0.6680513620376587,2.71875,3200.0
1976-04-21,2.71875,2.78125,2.6875,0.6603728532791138,2.6875,28000.0
1976-04-22,2.6875,2.78125,2.6875,0.6603728532791138,2.6875,3200.0
1976-04-23,2.6875,2.78125,2.6875,0.6603728532791138,2.6875,7200.0
1976-04-26,2.71875,2.8125,2.71875,0.6680513620376587,2.71875,36800.0
1976-04-27,2.71875,2.8125,2.71875,0.6680513620376587,2.71875,7200.0
1976-04-28,2.71875,2.8125,2.71875,0.6680513620376587,2.71875,42400.0
1976-04-29,2.71875,2.8125,2.71875,0.6680513620376587,2.71875,7200.0
1976-04-30,2.71875,2.8125,2.71875,0.6680513620376587,2.71875,16800.0
1976-05-03,2.71875,2.8125,2.71875,0.6680513620376587,2.71875,41600.0
1976-05-04,2.71875,2.78125,2.6875,0.6603728532791138,2.6875,25600.0
1976-05-05,2.6875,2.78125,2.6875,0.6603728532791138,2.6875,800.0
1976-05-06,2.6875,2.78125,2.6875,0.6603728532791138,2.6875,3200.0
1976-05-07,2.6875,2.78125,2.6875,0.6603728532791138,2.6875,57600.0
1976-05-10,2.6875,2.78125,2.6875,0.6603728532791138,2.6875,4800.0
1976-05-11,2.6875,2.78125,2.6875,0.6603728532791138,2.6875,8800.0
1976-05-12,2.6875,2.78125,2.6875,0.6603728532791138,2.6875,4000.0
1976-05-13,2.6875,2.78125,2.6875,0.6603728532791138,2.6875,16800.0
1976-05-14,2.6875,2.78125,2.6875,0.6603728532791138,2.6875,16800.0
1976-05-17,2.6875,2.78125,2.6875,0.6603728532791138,2.6875,8800.0
1976-05-18,2.6875,2.75,2.65625,0.6526941657066345,2.65625,10400.0
1976-05-19,2.65625,2.75,2.65625,0.6526941657066345,2.65625,5600.0
1976-05-20,2.65625,2.71875,2.625,0.6450151801109314,2.625,16800.0
1976-05-21,2.625,2.71875,2.625,0.6450151801109314,2.625,2400.0
1976-05-24,2.625,2.6875,2.59375,0.637336790561676,2.59375,16800.0
1976-05-25,2.59375,2.6875,2.59375,0.637336790561676,2.59375,11200.0
1976-05-26,2.59375,2.65625,2.5625,0.629657506942749,2.5625,12000.0
1976-05-27,2.5625,2.65625,2.5625,0.629657506942749,2.5625,12000.0
1976-05-28,2.5625,2.65625,2.5625,0.629657506942749,2.5625,2400.0
1976-06-01,2.5625,2.65625,2.5625,0.629657506942749,2.5625,2400.0
1976-06-02,2.5625,2.65625,2.5625,0.629657506942749,2.5625,19200.0
1976-06-03,2.5625,2.65625,2.5625,0.629657506942749,2.5625,10400.0
1976-06-04,2.5625,2.625,2.53125,0.6219789385795593,2.53125,6400.0
1976-06-07,2.53125,2.59375,2.5,0.6143001914024353,2.5,16000.0
1976-06-08,2.5,2.59375,2.5,0.6143001914024353,2.5,7200.0
1976-06-09,2.53125,2.625,2.53125,0.6219789385795593,2.53125,16000.0
1976-06-10,2.53125,2.625,2.53125,0.6219789385795593,2.53125,25600.0
1976-06-11,2.53125,2.625,2.53125,0.6219789385795593,2.53125,26400.0
1976-06-14,2.5625,2.65625,2.5625,0.629657506942749,2.5625,14400.0
1976-06-15,2.5625,2.65625,2.5625,0.629657506942749,2.5625,8000.0
1976-06-16,2.5625,2.65625,2.5625,0.629657506942749,2.5625,19200.0
1976-06-17,2.59375,2.6875,2.59375,0.637336790561676,2.59375,8000.0
1976-06-18,2.59375,2.6875,2.59375,0.637336790561676,2.59375,98400.0
1976-06-21,2.59375,2.6875,2.59375,0.637336790561676,2.59375,18400.0
1976-06-22,2.59375,2.6875,2.59375,0.637336790561676,2.59375,96800.0
1976-06-23,2.59375,2.65625,2.5625,0.629657506942749,2.5625,12800.0
1976-06-24,2.5625,2.65625,2.5625,0.629657506942749,2.5625,23200.0
1976-06-25,2.59375,2.6875,2.59375,0.637336790561676,2.59375,13600.0
1976-06-28,2.59375,2.6875,2.59375,0.637336790561676,2.59375,7200.0
1976-06-29,2.65625,2.75,2.65625,0.6526941657066345,2.65625,47200.0
1976-06-30,2.65625,2.75,2.65625,0.6526941657066345,2.65625,20800.0
1976-07-01,2.65625,2.75,2.65625,0.6526941657066345,2.65625,6400.0
1976-07-02,2.65625,2.65625,2.65625,0.6526941657066345,2.65625,0.0
1976-07-06,2.65625,2.75,2.65625,0.6526941657066345,2.65625,5600.0
1976-07-07,2.6875,2.78125,2.6875,0.6603728532791138,2.6875,8800.0
1976-07-08,2.6875,2.78125,2.6875,0.6603728532791138,2.6875,16800.0
1976-07-09,2.6875,2.75,2.65625,0.6526941657066345,2.65625,4800.0
1976-07-12,2.65625,2.75,2.65625,0.6526941657066345,2.65625,2400.0
1976-07-13,2.65625,2.75,2.65625,0.6526941657066345,2.65625,10400.0
1976-07-14,2.65625,2.75,2.65625,0.6526941657066345,2.65625,26400.0
1976-07-15,2.65625,2.6875,2.59375,0.637336790561676,2.59375,25600.0
1976-07-16,2.59375,2.6875,2.59375,0.637336790561676,2.59375,15200.0
1976-07-19,2.59375,2.6875,2.59375,0.637336790561676,2.59375,8000.0
1976-07-20,2.59375,2.59375,2.5,0.6143001914024353,2.5,20800.0
1976-07-21,2.5,2.53125,2.4375,0.5989426374435425,2.4375,28800.0
1976-07-22,2.5,2.59375,2.5,0.6143001914024353,2.5,4000.0
1976-07-23,2.5,2.59375,2.5,0.6143001914024353,2.5,6400.0
1976-07-26,2.5,2.59375,2.5,0.6143001914024353,2.5,6400.0
1976-07-27,2.5,2.59375,2.5,0.6143001914024353,2.5,14400.0
1976-07-28,2.5,2.5625,2.46875,0.6066214442253113,2.46875,18400.0
1976-07-29,2.46875,2.5625,2.46875,0.6066214442253113,2.46875,15200.0
1976-07-30,2.46875,2.53125,2.4375,0.5989426374435425,2.4375,7200.0
1976-08-02,2.4375,2.53125,2.4375,0.5989426374435425,2.4375,11200.0
1976-08-03,2.4375,2.53125,2.4375,0.5989426374435425,2.4375,9600.0
1976-08-04,2.5,2.59375,2.5,0.6143001914024353,2.5,33600.0
1976-08-05,2.53125,2.625,2.53125,0.6219789385795593,2.53125,33600.0
1976-08-06,2.53125,2.59375,2.5,0.6143001914024353,2.5,16000.0
1976-08-09,2.5,2.59375,2.5,0.6143001914024353,2.5,6400.0
1976-08-10,2.5,2.59375,2.5,0.6143001914024353,2.5,4000.0
1976-08-11,2.5,2.59375,2.5,0.6143001914024353,2.5,34400.0
1976-08-12,2.5,2.59375,2.5,0.6143001914024353,2.5,8000.0
1976-08-13,2.5,2.59375,2.5,0.6143001914024353,2.5,28000.0
1976-08-16,2.5,2.5625,2.46875,0.6066214442253113,2.46875,5600.0
1976-08-17,2.46875,2.5625,2.46875,0.6066214442253113,2.46875,8800.0
1976-08-18,2.5,2.59375,2.5,0.6143001914024353,2.5,63200.0
1976-08-19,2.5,2.5625,2.46875,0.6066214442253113,2.46875,48000.0
1976-08-20,2.46875,2.5625,2.46875,0.6066214442253113,2.46875,11200.0
1976-08-23,2.46875,2.5625,2.46875,0.6066214442253113,2.46875,35200.0
1976-08-24,2.46875,2.5625,2.46875,0.6066214442253113,2.46875,5600.0
1976-08-25,2.46875,2.5625,2.46875,0.6066214442253113,2.46875,20800.0
1976-08-26,2.46875,2.5625,2.46875,0.6066214442253113,2.46875,22400.0
1976-08-27,2.46875,2.5625,2.46875,0.6066214442253113,2.46875,23200.0
1976-08-30,2.46875,2.5625,2.46875,0.6066214442253113,2.46875,32800.0
1976-08-31,2.46875,2.53125,2.4375,0.5989426374435425,2.4375,24000.0
1976-09-01,2.46875,2.5625,2.46875,0.6066214442253113,2.46875,24000.0
1976-09-02,2.46875,2.53125,2.4375,0.5989426374435425,2.4375,69600.0
1976-09-03,2.4375,2.53125,2.4375,0.5989426374435425,2.4375,19200.0
1976-09-07,2.4375,2.53125,2.4375,0.5989426374435425,2.4375,12000.0
1976-09-08,2.4375,2.53125,2.4375,0.5989426374435425,2.4375,35200.0
1976-09-09,2.4375,2.5,2.40625,0.5912639498710632,2.40625,66400.0
1976-09-10,2.40625,2.5,2.40625,0.5912639498710632,2.40625,23200.0
1976-09-13,2.40625,2.5,2.40625,0.5912639498710632,2.40625,19200.0
1976-09-14,2.40625,2.5,2.40625,0.5912639498710632,2.40625,75200.0
1976-09-15,2.5,2.59375,2.5,0.6143001914024353,2.5,64000.0
1976-09-16,2.5,2.59375,2.5,0.6143001914024353,2.5,41600.0
1976-09-17,2.53125,2.625,2.53125,0.6219789385795593,2.53125,35200.0
1976-09-20,2.59375,2.6875,2.59375,0.637336790561676,2.59375,68000.0
1976-09-21,2.59375,2.6875,2.59375,0.637336790561676,2.59375,27200.0
1976-09-22,2.625,2.71875,2.625,0.6450151801109314,2.625,47200.0
1976-09-23,2.71875,2.8125,2.71875,0.6680513620376587,2.71875,48800.0
1976-09-24,2.71875,2.78125,2.6875,0.6603728532791138,2.6875,35200.0
1976-09-27,2.6875,2.71875,2.625,0.6450151801109314,2.625,37600.0
1976-09-28,2.625,2.6875,2.59375,0.637336790561676,2.59375,38400.0
1976-09-29,2.59375,2.6875,2.59375,0.637336790561676,2.59375,8800.0
1976-09-30,2.59375,2.65625,2.5625,0.629657506942749,2.5625,24800.0
1976-10-01,2.5625,2.65625,2.5625,0.629657506942749,2.5625,31200.0
1976-10-04,2.5625,2.65625,2.5625,0.629657506942749,2.5625,18400.0
1976-10-05,2.5625,2.65625,2.5625,0.629657506942749,2.5625,31200.0
1976-10-06,2.5625,2.65625,2.5625,0.629657506942749,2.5625,25600.0
1976-10-07,2.5625,2.65625,2.5625,0.629657506942749,2.5625,6400.0
1976-10-08,2.59375,2.6875,2.59375,0.637336790561676,2.59375,41600.0
1976-10-11,2.59375,2.6875,2.59375,0.637336790561676,2.59375,12800.0
1976-10-12,2.59375,2.6875,2.59375,0.637336790561676,2.59375,35200.0
1976-10-13,2.59375,2.65625,2.5625,0.629657506942749,2.5625,800.0
1976-10-14,2.5625,2.5625,2.46875,0.6066214442253113,2.46875,52000.0
1976-10-15,2.5,2.59375,2.5,0.6143001914024353,2.5,15200.0
1976-10-18,2.5,2.59375,2.5,0.6143001914024353,2.5,12800.0
1976-10-19,2.5,2.59375,2.5,0.6143001914024353,2.5,4000.0
1976-10-20,2.53125,2.625,2.53125,0.6219789385795593,2.53125,18400.0
1976-10-21,2.53125,2.625,2.53125,0.6219789385795593,2.53125,36800.0
1976-10-22,2.53125,2.59375,2.5,0.6143001914024353,2.5,20000.0
1976-10-25,2.5,2.59375,2.5,0.6143001914024353,2.5,6400.0
1976-10-26,2.5,2.59375,2.5,0.6143001914024353,2.5,12000.0
1976-10-27,2.5,2.5625,2.46875,0.6066214442253113,2.46875,14400.0
1976-10-28,2.46875,2.46875,2.46875,0.6066214442253113,2.46875,0.0
1976-10-29,2.46875,2.5625,2.46875,0.6066214442253113,2.46875,4000.0
1976-11-01,2.46875,2.5625,2.46875,0.6066214442253113,2.46875,12800.0
1976-11-03,2.46875,2.53125,2.4375,0.5989426374435425,2.4375,21600.0
1976-11-04,2.46875,2.5625,2.46875,0.6066214442253113,2.46875,16800.0
1976-11-05,2.46875,2.5625,2.46875,0.6066214442253113,2.46875,4800.0
1976-11-08,2.46875,2.53125,2.4375,0.5989426374435425,2.4375,8800.0
1976-11-09,2.4375,2.46875,2.375,0.5835852026939392,2.375,33600.0
1976-11-10,2.40625,2.5,2.40625,0.5912639498710632,2.40625,15200.0
1976-11-11,2.40625,2.5,2.40625,0.5912639498710632,2.40625,32800.0
1976-11-12,2.4375,2.53125,2.4375,0.5989426374435425,2.4375,8000.0
1976-11-15,2.4375,2.53125,2.4375,0.5989426374435425,2.4375,24800.0
1976-11-16,2.4375,2.5,2.40625,0.5912639498710632,2.40625,60800.0
1976-11-17,2.4375,2.53125,2.4375,0.5989426374435425,2.4375,21600.0
1976-11-18,2.4375,2.53125,2.4375,0.5989426374435425,2.4375,24800.0
1976-11-19,2.4375,2.53125,2.4375,0.5989426374435425,2.4375,30400.0
1976-11-22,2.4375,2.53125,2.4375,0.5989426374435425,2.4375,24000.0
1976-11-23,2.4375,2.5,2.40625,0.5912639498710632,2.40625,18400.0
1976-11-24,2.40625,2.46875,2.375,0.5835852026939392,2.375,22400.0
1976-11-26,2.375,2.46875,2.375,0.5835852026939392,2.375,13600.0
1976-11-29,2.4375,2.53125,2.4375,0.5989426374435425,2.4375,54400.0
1976-11-30,2.4375,2.53125,2.4375,0.5989426374435425,2.4375,10400.0
1976-12-01,2.46875,2.5625,2.46875,0.6066214442253113,2.46875,24800.0
1976-12-02,2.46875,2.5625,2.46875,0.6066214442253113,2.46875,24000.0
1976-12-03,2.5,2.59375,2.5,0.6143001914024353,2.5,59200.0
1976-12-06,2.5,2.59375,2.5,0.6143001914024353,2.5,56000.0
1976-12-07,2.5,2.59375,2.5,0.6143001914024353,2.5,70400.0
1976-12-08,2.5,2.59375,2.5,0.6143001914024353,2.5,44000.0
1976-12-09,2.5,2.59375,2.5,0.6143001914024353,2.5,41600.0
1976-12-10,2.5,2.53125,2.4375,0.5989426374435425,2.4375,97600.0
1976-12-13,2.5,2.59375,2.5,0.6143001914024353,2.5,68000.0
1976-12-14,2.5625,2.65625,2.5625,0.629657506942749,2.5625,126400.0
1976-12-15,2.5625,2.625,2.53125,0.6219789385795593,2.53125,38400.0
1976-12-16,2.59375,2.6875,2.59375,0.637336790561676,2.59375,25600.0
1976-12-17,2.625,2.71875,2.625,0.6450151801109314,2.625,32000.0
1976-12-20,2.6875,2.78125,2.6875,0.6603728532791138,2.6875,29600.0
1976-12-21,2.71875,2.8125,2.71875,0.6680513620376587,2.71875,66400.0
1976-12-22,2.71875,2.8125,2.71875,0.6680513620376587,2.71875,28800.0
1976-12-23,2.75,2.84375,2.75,0.6757302284240723,2.75,12000.0
1976-12-27,2.75,2.8125,2.71875,0.6680513620376587,2.71875,7200.0
1976-12-28,2.75,2.84375,2.75,0.6757302284240723,2.75,34400.0
1976-12-29,2.75,2.84375,2.75,0.6757302284240723,2.75,25600.0
1976-12-30,2.75,2.8125,2.71875,0.6680513620376587,2.71875,30400.0
1976-12-31,2.9375,3.03125,2.9375,0.721802830696106,2.9375,49600.0
1977-01-03,2.9375,3.03125,2.9375,0.721802830696106,2.9375,86400.0
1977-01-04,2.9375,3.03125,2.9375,0.721802830696106,2.9375,14400.0
1977-01-05,2.9375,3.0,2.90625,0.7141237854957581,2.90625,4800.0
1977-01-06,2.9375,3.03125,2.9375,0.721802830696106,2.9375,25600.0
1977-01-07,2.9375,3.0,2.90625,0.7141237854957581,2.90625,10400.0
1977-01-10,2.90625,3.0,2.90625,0.7141237854957581,2.90625,16800.0
1977-01-11,2.90625,2.90625,2.8125,0.6910879611968994,2.8125,42400.0
1977-01-12,2.8125,2.90625,2.8125,0.6910879611968994,2.8125,44800.0
1977-01-13,2.8125,2.90625,2.8125,0.6910879611968994,2.8125,19200.0
1977-01-14,2.8125,2.875,2.78125,0.6834089756011963,2.78125,10400.0
1977-01-17,2.8125,2.90625,2.8125,0.6910879611968994,2.8125,16000.0
1977-01-18,2.8125,2.90625,2.8125,0.6910879611968994,2.8125,12000.0
1977-01-19,2.84375,2.9375,2.84375,0.6987663507461548,2.84375,16000.0
1977-01-20,2.84375,2.9375,2.84375,0.6987663507461548,2.84375,32000.0
1977-01-21,2.875,2.96875,2.875,0.7064448595046997,2.875,16800.0
1977-01-24,2.875,2.875,2.78125,0.6834089756011963,2.78125,25600.0
1977-01-25,2.78125,2.875,2.78125,0.6834089756011963,2.78125,5600.0
1977-01-26,2.78125,2.875,2.78125,0.6834089756011963,2.78125,23200.0
1977-01-27,2.78125,2.84375,2.75,0.6757302284240723,2.75,10400.0
1977-01-28,2.71875,2.71875,2.625,0.6450151801109314,2.625,68000.0
1977-01-31,2.65625,2.75,2.65625,0.6526941657066345,2.65625,44800.0
1977-02-01,2.71875,2.8125,2.71875,0.6680513620376587,2.71875,24800.0
1977-02-02,2.71875,2.8125,2.71875,0.6680513620376587,2.71875,31200.0
1977-02-03,2.71875,2.8125,2.71875,0.6680513620376587,2.71875,6400.0
1977-02-04,2.71875,2.8125,2.71875,0.6680513620376587,2.71875,3200.0
1977-02-07,2.71875,2.8125,2.71875,0.6680513620376587,2.71875,20000.0
1977-02-08,2.71875,2.8125,2.71875,0.6680513620376587,2.71875,20800.0
1977-02-09,2.71875,2.8125,2.71875,0.6680513620376587,2.71875,8000.0
1977-02-10,2.71875,2.8125,2.71875,0.6680513620376587,2.71875,18400.0
1977-02-11,2.71875,2.8125,2.71875,0.6680513620376587,2.71875,10400.0
1977-02-14,2.71875,2.8125,2.71875,0.6680513620376587,2.71875,18400.0
1977-02-15,2.71875,2.8125,2.71875,0.6680513620376587,2.71875,20800.0
1977-02-16,2.71875,2.8125,2.71875,0.6680513620376587,2.71875,20000.0
1977-02-17,2.71875,2.8125,2.71875,0.6680513620376587,2.71875,4000.0
1977-02-18,2.75,2.84375,2.75,0.6757302284240723,2.75,68000.0
1977-02-22,2.75,2.8125,2.71875,0.6680513620376587,2.71875,24800.0
1977-02-23,2.71875,2.78125,2.6875,0.6603728532791138,2.6875,4800.0
