date,open,high,low,close,close_raw,volume
1980-11-18,14.125,14.5,14.125,2.183626174926758,14.125,3200.0
1980-11-19,14.25,14.625,14.25,2.202951192855835,14.25,8000.0
1980-11-20,14.25,14.25,14.125,2.183626174926758,14.125,16600.0
1980-11-21,14.625,14.875,14.625,2.2609219551086426,14.625,18700.0
1980-11-24,14.5,14.5,14.125,2.183626174926758,14.125,40900.0
1980-11-25,13.75,13.75,13.5,2.087005376815796,13.5,25800.0
1980-11-26,14.125,14.5,14.125,2.183626174926758,14.125,75000.0
1980-11-28,14.375,14.5,14.375,2.222274780273437,14.375,19300.0
1980-12-01,14.375,14.375,14.0,2.1643011569976807,14.0,26200.0
1980-12-02,13.5,13.5,13.0,2.009708881378174,13.0,20000.0
1980-12-03,13.125,13.5,13.125,2.0290346145629883,13.125,10500.0
1980-12-04,13.125,13.25,12.75,1.971060991287232,12.75,13700.0
1980-12-05,12.75,13.25,12.75,1.971060991287232,12.75,11000.0
1980-12-08,12.25,12.25,11.75,1.8164678812026973,11.75,8700.0
1980-12-09,11.75,12.5,11.75,1.8164678812026973,11.75,38700.0
1980-12-10,12.75,13.5,12.75,1.971060991287232,12.75,10800.0
1980-12-11,12.75,13.25,12.5,1.932411789894104,12.5,10800.0
1980-12-12,12.75,13.25,12.75,1.971060991287232,12.75,4500.0
1980-12-15,12.75,12.75,12.0,1.855116605758667,12.0,8000.0
1980-12-16,12.0,12.5,12.0,1.855116605758667,12.0,7500.0
1980-12-17,12.0,12.5,12.0,1.855116605758667,12.0,7000.0
1980-12-18,12.0,12.5,11.75,1.8164678812026973,11.75,10600.0
1980-12-19,12.0,12.5,12.0,1.855116605758667,12.0,18700.0
1980-12-22,12.25,12.75,12.25,1.893763542175293,12.25,16800.0
1980-12-23,12.25,12.5,12.25,1.893763542175293,12.25,8600.0
1980-12-24,12.25,12.75,12.25,1.893763542175293,12.25,9200.0
1980-12-26,12.5,13.0,12.5,1.932411789894104,12.5,3900.0
1980-12-29,12.5,13.0,12.5,1.932411789894104,12.5,4400.0
1980-12-30,12.5,13.0,12.5,1.932411789894104,12.5,13400.0
1980-12-31,12.5,12.75,12.25,1.893763542175293,12.25,7800.0
1981-01-02,12.75,13.0,12.75,1.971060991287232,12.75,8000.0
1981-01-05,13.0,13.5,13.0,2.009708881378174,13.0,9400.0
1981-01-06,13.0,13.5,13.0,2.009708881378174,13.0,10200.0
1981-01-07,13.0,13.0,12.25,1.893763542175293,12.25,17100.0
1981-01-08,12.5,13.0,12.5,1.932411789894104,12.5,7800.0
1981-01-09,13.0,13.5,13.0,2.009708881378174,13.0,5600.0
1981-01-12,13.0,13.5,13.0,2.009708881378174,13.0,11400.0
1981-01-13,13.5,14.0,13.5,2.087005376815796,13.5,5000.0
1981-01-14,13.75,14.25,13.75,2.125654458999634,13.75,7100.0
1981-01-15,13.75,14.25,13.75,2.125654458999634,13.75,3300.0
1981-01-16,13.75,14.25,13.75,2.125654458999634,13.75,6800.0
1981-01-19,13.75,14.25,13.75,2.125654458999634,13.75,7600.0
1981-01-20,13.75,14.25,13.5,2.087005376815796,13.5,6800.0
1981-01-21,13.75,14.25,13.75,2.125654458999634,13.75,2600.0
1981-01-22,13.75,14.0,13.5,2.087005376815796,13.5,7700.0
1981-01-23,13.75,14.25,13.75,2.125654458999634,13.75,7900.0
1981-01-26,13.75,14.0,13.5,2.087005376815796,13.5,3200.0
1981-01-27,13.75,14.25,13.75,2.125654458999634,13.75,4100.0
1981-01-28,13.75,14.25,13.5,2.087005376815796,13.5,7800.0
1981-01-29,13.5,14.0,13.5,2.087005376815796,13.5,2300.0
