date,open,high,low,close,close_raw,volume
1993-04-28,9.125,9.375,9.0,5.703779697418213,9.125,7821000.0
1993-04-29,9.125,9.3125,9.125,5.820981502532959,9.3125,2118800.0
1993-04-30,9.375,9.375,9.125,5.74284553527832,9.1875,536800.0
1993-05-03,9.125,9.1875,9.0625,5.74284553527832,9.1875,509600.0
1993-05-04,9.1875,9.1875,8.9375,5.664714813232422,9.0625,787400.0
1993-05-05,9.0,9.0625,8.875,5.547511100769043,8.875,747200.0
1993-05-06,8.9375,9.0,8.8125,5.50844669342041,8.8125,392800.0
1993-05-07,8.875,8.9375,8.8125,5.547511100769043,8.875,180000.0
1993-05-10,8.9375,9.0625,8.875,5.547511100769043,8.875,269600.0
1993-05-11,8.9375,8.9375,8.875,5.586577892303467,8.9375,109400.0
1993-05-12,8.875,8.875,8.6875,5.50844669342041,8.8125,110800.0
1993-05-13,8.8125,8.8125,8.75,5.4693803787231445,8.75,171000.0
1993-05-14,8.75,8.875,8.75,5.4693803787231445,8.75,166800.0
1993-05-17,8.75,8.75,8.5625,5.3912434577941895,8.625,132000.0
1993-05-18,8.625,8.625,8.0,5.156839847564697,8.25,534400.0
1993-05-19,8.375,8.5625,8.375,5.274040222167969,8.4375,203600.0
1993-05-20,8.3125,8.375,7.9375,5.078708171844482,8.125,1189000.0
1993-05-21,8.1875,8.25,8.0,5.11777400970459,8.1875,475600.0
1993-05-24,8.25,8.25,8.0,5.078708171844482,8.125,719200.0
1993-05-25,8.0,8.0625,7.8125,4.961508274078369,7.9375,326600.0
1993-05-26,8.0,8.3125,8.0,5.156839847564697,8.25,209200.0
1993-05-27,8.375,8.5625,8.25,5.313109874725342,8.5,307800.0
1993-05-28,8.625,8.8125,8.4375,5.430309295654297,8.6875,986400.0
1993-06-01,8.75,8.75,8.4375,5.313109874725342,8.5,116800.0
1993-06-02,8.5,8.6875,8.4375,5.430309295654297,8.6875,205200.0
1993-06-03,8.6875,8.6875,8.5,5.313109874725342,8.5,92000.0
1993-06-04,8.5625,8.625,8.5,5.352173805236816,8.5625,118200.0
1993-06-07,8.5,8.6875,8.5,5.3912434577941895,8.625,60000.0
1993-06-08,8.625,8.625,8.5,5.352173805236816,8.5625,298200.0
1993-06-09,8.5625,8.5625,8.4375,5.274040222167969,8.4375,27400.0
1993-06-10,8.4375,8.625,8.4375,5.352173805236816,8.5625,153600.0
1993-06-11,8.6875,8.8125,8.5625,5.50844669342041,8.8125,84200.0
1993-06-14,8.9375,9.0,8.75,5.586577892303467,8.9375,434000.0
1993-06-15,8.875,9.125,8.8125,5.547511100769043,8.875,169600.0
1993-06-16,8.875,9.0625,8.875,5.586577892303467,8.9375,288200.0
1993-06-17,9.0,9.0,8.8125,5.586577892303467,8.9375,165400.0
1993-06-18,8.9375,9.0,8.8125,5.547511100769043,8.875,89400.0
1993-06-21,8.8125,8.9375,8.8125,5.547511100769043,8.875,34200.0
1993-06-22,8.9375,9.0625,8.8125,5.547511100769043,8.875,143000.0
1993-06-23,8.875,9.0,8.75,5.4693803787231445,8.75,23600.0
1993-06-24,8.75,9.0,8.75,5.50844669342041,8.8125,58200.0
1993-06-25,8.8125,9.25,8.8125,5.74284553527832,9.1875,370000.0
1993-06-28,9.1875,9.625,9.0625,5.977248668670654,9.5625,135200.0
1993-06-29,9.75,9.75,9.4375,5.938181877136231,9.5,575600.0
1993-06-30,9.5,9.5,9.375,5.938181877136231,9.5,132000.0
1993-07-01,9.5,9.625,9.4375,6.01631498336792,9.625,120800.0
1993-07-02,9.625,9.75,9.5,5.938181877136231,9.5,239400.0
1993-07-06,9.5,9.625,9.3125,5.820981502532959,9.3125,87200.0
1993-07-07,9.375,9.375,9.1875,5.781912803649902,9.25,74400.0
1993-07-08,9.3125,9.5625,9.25,5.938181877136231,9.5,104000.0
1993-07-09,9.5,9.5625,9.4375,5.938181877136231,9.5,302600.0
1993-07-12,9.5625,9.5625,9.4375,5.938181877136231,9.5,98200.0
1993-07-13,9.5,9.5625,9.4375,5.938181877136231,9.5,212400.0
1993-07-14,9.5,9.75,9.5,6.094449996948242,9.75,153200.0
1993-07-15,9.75,9.75,9.6875,6.094449996948242,9.75,133800.0
1993-07-16,9.75,9.75,9.625,6.094449996948242,9.75,126000.0
1993-07-19,9.6875,9.8125,9.6875,6.094449996948242,9.75,244800.0
1993-07-20,9.75,9.75,9.6875,6.094449996948242,9.75,111000.0
1993-07-21,9.8125,9.9375,9.75,6.211649417877197,9.9375,117400.0
1993-07-22,9.9375,10.125,9.9375,6.289784908294678,10.0625,240600.0
1993-07-23,10.0625,10.125,9.875,6.172582626342773,9.875,138200.0
1993-07-26,9.875,10.0625,9.75,6.289784908294678,10.0625,236200.0
1993-07-27,10.125,10.3125,10.125,6.406985759735107,10.25,259200.0
1993-07-28,10.75,11.1875,10.6875,6.914855003356934,11.0625,583200.0
1993-07-29,11.1875,11.6875,11.125,7.149259090423584,11.4375,344800.0
1993-07-30,11.5,11.6875,11.4375,7.305524826049805,11.6875,217800.0
1993-08-02,11.6875,11.875,11.625,7.266458511352539,11.625,511400.0
1993-08-03,11.625,11.625,11.125,7.188321590423584,11.5,161000.0
1993-08-04,11.375,11.875,11.375,7.383662700653076,11.8125,129200.0
1993-08-05,11.875,12.3125,11.875,7.618061542510986,12.1875,270200.0
1993-08-06,12.0625,12.125,11.875,7.461794376373291,11.9375,397600.0
1993-08-09,11.9375,12.0625,11.875,7.500861644744873,12.0,148200.0
1993-08-10,12.0,12.0,11.625,7.305524826049805,11.6875,104000.0
1993-08-11,11.6875,11.875,11.6875,7.3445940017700195,11.75,77400.0
1993-08-12,11.75,11.75,11.4375,7.3445940017700195,11.75,64000.0
1993-08-13,11.75,11.75,11.5625,7.305524826049805,11.6875,17600.0
1993-08-16,11.6875,11.75,11.5,7.3445940017700195,11.75,119600.0
1993-08-17,11.625,11.9375,11.625,7.461794376373291,11.9375,82800.0
1993-08-18,12.0,12.25,12.0,7.500861644744873,12.0,98800.0
1993-08-19,12.0,12.125,11.8125,7.578997611999512,12.125,96600.0
1993-08-20,12.0,12.0625,11.8125,7.500861644744873,12.0,43600.0
1993-08-23,11.9375,12.0,11.875,7.500861644744873,12.0,280200.0
1993-08-24,12.0,12.1875,12.0,7.539924144744873,12.0625,279000.0
1993-08-25,12.0625,12.3125,12.0625,7.69619083404541,12.3125,97600.0
1993-08-26,12.1875,12.1875,11.9375,7.556094646453857,12.0,258600.0
1993-08-27,12.0625,12.0625,11.4375,7.280613899230957,11.5625,315800.0
1993-08-30,11.5,11.8125,11.5,7.438027858734131,11.8125,31600.0
1993-08-31,11.875,11.9375,11.8125,7.4773850440979,11.875,58600.0
1993-09-01,11.875,12.125,11.75,7.595447540283203,12.0625,104000.0
1993-09-02,12.0625,12.4375,12.0625,7.831575870513916,12.4375,174600.0
1993-09-03,12.4375,12.5,12.1875,7.713513374328613,12.25,349000.0
1993-09-07,12.0625,12.25,12.0625,7.674155712127685,12.1875,86200.0
1993-09-08,12.1875,12.1875,12.0,7.595447540283203,12.0625,123000.0
1993-09-09,11.9375,12.0625,11.875,7.516737461090088,11.9375,41200.0
1993-09-10,11.8125,11.875,11.6875,7.398673057556152,11.75,126000.0
1993-09-13,11.875,11.875,11.75,7.438027858734131,11.8125,143600.0
1993-09-14,11.75,11.75,11.3125,7.201901912689209,11.4375,412400.0
1993-09-15,11.3125,11.4375,11.25,7.201901912689209,11.4375,195200.0
1993-09-16,11.4375,11.625,11.375,7.280613899230957,11.5625,125400.0
1993-09-17,11.5,11.625,11.5,7.280613899230957,11.5625,227600.0
1993-09-20,11.6875,11.875,11.6875,7.4773850440979,11.875,48200.0
1993-09-21,11.8125,11.9375,11.5625,7.280613899230957,11.5625,17600.0
1993-09-22,11.5625,11.6875,11.5,7.359322071075439,11.6875,47800.0
1993-09-23,11.75,12.125,11.75,7.556094646453857,12.0,218600.0
1993-09-24,12.0625,12.125,11.9375,7.556094646453857,12.0,43600.0
1993-09-27,12.0625,12.125,11.875,7.516737461090088,11.9375,44600.0
1993-09-28,11.9375,12.0,11.8125,7.556094646453857,12.0,24200.0
1993-09-29,12.125,12.125,12.0,7.6348042488098145,12.125,16800.0
1993-09-30,12.0625,12.375,12.0625,7.713513374328613,12.25,36000.0
1993-10-01,12.25,12.4375,12.0,7.556094646453857,12.0,87200.0
1993-10-04,12.0,12.0625,11.9375,7.516737461090088,11.9375,87600.0
1993-10-05,11.9375,12.0,11.875,7.516737461090088,11.9375,20400.0
1993-10-06,12.0,12.25,12.0,7.713513374328613,12.25,29400.0
1993-10-07,12.25,12.375,12.125,7.674155712127685,12.1875,50400.0
1993-10-08,12.1875,12.1875,11.75,7.438027858734131,11.8125,287000.0
1993-10-11,11.875,12.0625,11.875,7.556094646453857,12.0,9000.0
1993-10-12,12.0,12.1875,12.0,7.595447540283203,12.0625,11000.0
1993-10-13,12.1875,12.1875,12.0,7.556094646453857,12.0,26200.0
1993-10-14,12.0,12.0,11.6875,7.438027858734131,11.8125,50600.0
1993-10-15,11.8125,11.8125,11.5625,7.398673057556152,11.75,146000.0
1993-10-18,12.0,12.8125,12.0,8.028346061706543,12.75,500800.0
1993-10-19,12.6875,12.6875,12.375,7.910283088684082,12.5625,179400.0
1993-10-20,12.5,12.5,12.1875,7.713513374328613,12.25,159800.0
1993-10-21,12.25,12.625,12.25,7.910283088684082,12.5625,84200.0
1993-10-22,12.5625,12.75,12.5,8.028346061706543,12.75,157400.0
1993-10-25,12.75,13.5,12.75,8.264476776123047,13.125,230200.0
1993-10-26,13.1875,13.625,13.0,8.343191146850586,13.25,145400.0
1993-10-27,13.375,13.75,13.375,8.500603675842285,13.5,426600.0
1993-10-28,13.5,13.75,13.4375,8.500603675842285,13.5,369800.0
1993-10-29,13.5,13.5,13.25,8.343191146850586,13.25,81600.0
1993-11-01,13.1875,13.625,13.1875,8.500603675842285,13.5,121600.0
1993-11-02,13.375,13.4375,13.0,8.303829193115234,13.1875,98200.0
1993-11-03,13.1875,13.1875,13.0,8.225118637084961,13.0625,16200.0
1993-11-04,13.0,13.0,12.75,8.028346061706543,12.75,21200.0
1993-11-05,12.625,12.625,11.75,7.792221546173096,12.375,102000.0
1993-11-08,12.375,12.5625,12.375,7.831575870513916,12.4375,35000.0
1993-11-09,12.4375,12.625,12.4375,7.870929718017578,12.5,161200.0
1993-11-10,12.5,12.8125,12.4375,8.028346061706543,12.75,175000.0
1993-11-11,12.8125,12.875,12.75,8.067703247070312,12.8125,116400.0
1993-11-12,12.8125,12.875,12.75,8.067703247070312,12.8125,21000.0
1993-11-15,12.8125,13.0625,12.6875,8.225118637084961,13.0625,17800.0
1993-11-16,13.375,13.375,13.1875,8.343191146850586,13.25,115600.0
1993-11-17,13.3125,13.375,13.125,8.343191146850586,13.25,53200.0
1993-11-18,13.25,13.25,12.8125,8.067703247070312,12.8125,69200.0
1993-11-19,12.875,12.875,12.6875,8.067703247070312,12.8125,16400.0
1993-11-22,12.8125,12.8125,12.3125,7.870929718017578,12.5,29600.0
1993-11-23,12.5,12.5,12.375,7.792221546173096,12.375,7600.0
1993-11-24,12.4375,12.9375,12.4375,8.176145553588867,12.9375,24600.0
1993-11-26,12.9375,12.9375,12.9375,8.176145553588867,12.9375,2000.0
1993-11-29,13.0,13.0,12.75,8.176145553588867,12.9375,19600.0
1993-11-30,12.8125,12.9375,12.8125,8.136643409729004,12.875,7400.0
1993-12-01,12.875,13.0,12.875,8.176145553588867,12.9375,36400.0
1993-12-02,12.9375,12.9375,12.8125,8.136643409729004,12.875,30800.0
1993-12-03,12.8125,13.0,12.8125,8.176145553588867,12.9375,30600.0
1993-12-06,13.0,13.0,12.5625,8.01815128326416,12.6875,27000.0
1993-12-07,12.5625,12.6875,12.4375,7.899656295776367,12.5,11000.0
1993-12-08,12.5,12.6875,12.4375,8.01815128326416,12.6875,10200.0
1993-12-09,12.6875,12.75,12.625,8.057648658752441,12.75,62400.0
1993-12-10,12.75,12.75,12.5625,8.057648658752441,12.75,20000.0
1993-12-13,12.625,12.75,12.625,8.057648658752441,12.75,8000.0
1993-12-14,12.625,12.625,12.4375,7.939151287078857,12.5625,13800.0
1993-12-15,12.5,12.5625,12.3125,7.781163692474365,12.3125,6000.0
1993-12-16,12.25,12.25,11.75,7.662668228149414,12.125,126000.0
1993-12-17,12.25,12.375,12.125,7.741664409637451,12.25,56800.0
1993-12-20,12.125,12.5,12.125,7.820659637451172,12.375,46200.0
1993-12-21,12.375,12.5625,12.375,7.939151287078857,12.5625,15200.0
1993-12-22,12.5,12.5,12.375,7.8601579666137695,12.4375,199400.0
1993-12-23,12.5,12.8125,12.5,8.057648658752441,12.75,67400.0
1993-12-27,12.75,12.9375,12.75,8.176145553588867,12.9375,18200.0
1993-12-28,13.0,13.375,13.0,8.452627182006836,13.375,55800.0
1993-12-29,13.1875,13.375,13.125,8.294639587402344,13.125,41800.0
1993-12-30,13.1875,13.25,13.125,8.373639106750488,13.25,10600.0
1993-12-31,13.375,13.5,13.375,8.452627182006836,13.375,33800.0
1994-01-03,13.4375,13.5,13.25,8.373639106750488,13.25,43800.0
