date,open,high,low,close,close_raw,volume
1993-10-29,19.25,19.375,19.25,3.483351945877075,19.25,1381000.0
1993-11-01,19.25,19.375,19.25,3.505969762802124,19.375,136800.0
1993-11-02,19.25,19.375,18.625,3.392874240875244,18.75,182600.0
1993-11-03,18.5,19.0,18.375,3.415494680404663,18.875,146300.0
1993-11-04,18.75,18.875,18.75,3.392874240875244,18.75,48300.0
1993-11-05,18.75,18.875,18.75,3.392874240875244,18.75,13900.0
1993-11-08,18.75,18.875,18.75,3.415494680404663,18.875,22800.0
1993-11-09,18.875,19.0,18.75,3.392874240875244,18.75,10600.0
1993-11-10,18.875,19.0,18.875,3.415494680404663,18.875,143900.0
1993-11-11,18.875,18.875,18.875,3.415494680404663,18.875,29800.0
1993-11-12,18.875,19.0,18.875,3.4381136894226074,19.0,10500.0
1993-11-15,18.75,18.75,18.375,3.347637176513672,18.5,181600.0
1993-11-16,18.375,18.5,18.375,3.3250176906585693,18.375,33400.0
1993-11-17,18.5,18.5,18.25,3.302398920059204,18.25,73900.0
1993-11-18,18.25,18.25,17.625,3.1893038749694824,17.625,75900.0
1993-11-19,17.0,17.125,16.375,3.053586959838867,16.875,126700.0
1993-11-22,16.625,16.875,16.5,3.053586959838867,16.875,32100.0
1993-11-23,16.75,17.125,16.75,3.098827600479126,17.125,20300.0
1993-11-24,16.875,17.125,16.875,3.053586959838867,16.875,9800.0
1993-11-26,17.0,17.0,17.0,3.0762064456939697,17.0,2500.0
1993-11-29,17.125,17.125,16.875,3.098827600479126,17.125,48100.0
1993-11-30,17.125,17.25,16.875,3.098827600479126,17.125,38500.0
1993-12-01,17.125,17.125,17.0,3.0762064456939697,17.0,12700.0
1993-12-02,17.0,17.125,16.875,3.098827600479126,17.125,14800.0
1993-12-03,17.125,17.625,17.125,3.1666831970214844,17.5,19600.0
1993-12-06,17.5,17.5,17.25,3.1666831970214844,17.5,6000.0
1993-12-07,17.5,17.5,17.0,3.121445655822754,17.25,25100.0
1993-12-08,17.25,17.25,16.875,3.098827600479126,17.125,8500.0
1993-12-09,17.25,17.25,16.625,3.053586959838867,16.875,10600.0
1993-12-10,16.875,16.875,16.75,3.053586959838867,16.875,9500.0
1993-12-13,16.625,16.625,16.375,2.985729932785034,16.5,69000.0
1993-12-14,16.625,17.0,16.5,3.030968189239502,16.75,18000.0
1993-12-15,16.625,16.875,16.5,3.0083494186401367,16.625,36100.0
1993-12-16,16.625,16.625,16.5,2.985729932785034,16.5,7900.0
1993-12-17,16.5,16.625,16.375,2.985729932785034,16.5,9600.0
1993-12-20,16.5,16.5,15.75,2.8952527046203613,16.0,58500.0
1993-12-21,15.75,16.25,15.75,2.9178731441497803,16.125,54400.0
1993-12-22,16.25,16.5,16.25,2.985729932785034,16.5,21800.0
1993-12-23,16.75,16.75,16.5,3.0083494186401367,16.625,12200.0
1993-12-27,16.75,16.875,16.75,3.030968189239502,16.75,35500.0
1993-12-28,16.875,16.875,16.75,3.030968189239502,16.75,49500.0
1993-12-29,16.75,16.875,16.625,3.0083494186401367,16.625,23600.0
1993-12-30,16.625,16.875,16.5,3.030968189239502,16.75,66700.0
1993-12-31,16.875,16.875,16.5,3.0083494186401367,16.625,41100.0
1994-01-03,16.75,16.875,16.75,3.053586959838867,16.875,1900.0
1994-01-04,17.0,17.0,16.875,3.053586959838867,16.875,10100.0
1994-01-05,16.875,17.0,16.75,3.053586959838867,16.875,18500.0
1994-01-06,16.75,16.75,16.625,3.030968189239502,16.75,15100.0
1994-01-07,16.625,17.0,16.625,3.053586959838867,16.875,18000.0
1994-01-10,17.0,17.625,17.0,3.1893038749694824,17.625,18600.0
1994-01-11,17.625,17.75,17.5,3.211922407150269,17.75,6300.0
