date,open,high,low,close,close_raw,volume
1998-06-29,14.125,14.4375,13.96875,5.227232456207275,14.28125,12615000.0
1998-06-30,14.21875,14.21875,13.875,5.089977264404297,13.90625,3075200.0
1998-07-01,13.875,14.0,13.5625,5.101414203643799,13.9375,1186200.0
1998-07-02,13.875,13.875,13.625,5.067100524902344,13.84375,1127200.0
1998-07-06,13.84375,13.84375,13.5625,4.975592136383057,13.59375,1233600.0
1998-07-07,13.59375,13.625,13.46875,4.952718257904053,13.53125,1247000.0
1998-07-08,13.53125,13.625,13.5,4.98703145980835,13.625,784600.0
1998-07-09,13.5625,13.59375,13.375,4.941278457641602,13.5,586200.0
1998-07-10,13.5,13.5,13.15625,4.941278457641602,13.5,768600.0
1998-07-13,13.375,13.46875,13.15625,4.918401718139648,13.4375,771000.0
1998-07-14,13.40625,13.5625,13.25,4.941278457641602,13.5,1336800.0
1998-07-15,13.4375,13.46875,13.28125,4.9298415184021,13.46875,465600.0
1998-07-16,13.40625,13.4375,13.25,4.872652053833008,13.3125,807200.0
1998-07-17,13.3125,13.3125,13.15625,4.8497748374938965,13.25,1087000.0
1998-07-20,13.15625,13.1875,13.0,4.815456390380859,13.15625,1084000.0
1998-07-21,13.09375,13.15625,12.9375,4.7582688331604,13.0,437600.0
1998-07-22,13.03125,13.03125,12.875,4.7697062492370605,13.03125,1013000.0
1998-07-23,13.03125,13.1875,13.03125,4.815456390380859,13.15625,892400.0
1998-07-24,13.0625,13.09375,13.0,4.781145095825195,13.0625,1031600.0
1998-07-27,13.0,13.125,12.90625,4.792582511901856,13.09375,769600.0
1998-07-28,13.03125,13.09375,12.6875,4.712516784667969,12.875,1633800.0
1998-07-29,12.78125,12.875,12.53125,4.666762351989746,12.75,1044400.0
1998-07-30,12.6875,12.96875,12.65625,4.712516784667969,12.875,935800.0
1998-07-31,12.875,12.875,12.5,4.609571933746338,12.59375,773600.0
1998-08-03,12.5,12.5625,12.28125,4.5523834228515625,12.4375,1298400.0
1998-08-04,12.34375,12.34375,11.875,4.403687477111816,12.03125,1235200.0
1998-08-05,12.125,12.5625,12.0625,4.59813404083252,12.5625,1002600.0
1998-08-06,12.5625,12.5625,12.25,4.529503345489502,12.375,1137000.0
1998-08-07,12.3125,12.40625,12.125,4.472314834594727,12.21875,703000.0
1998-08-10,12.25,12.5,12.25,4.529503345489502,12.375,1498800.0
1998-08-11,12.25,12.28125,12.0,4.426559448242188,12.09375,716800.0
1998-08-12,12.09375,12.5625,12.0625,4.59813404083252,12.5625,798000.0
1998-08-13,12.4375,12.53125,12.34375,4.563821315765381,12.46875,413000.0
1998-08-14,12.34375,12.4375,12.25,4.529503345489502,12.375,391400.0
1998-08-17,12.5,12.65625,12.40625,4.6210103034973145,12.625,1041000.0
1998-08-18,12.59375,12.625,12.375,4.575258731842041,12.5,901800.0
1998-08-19,12.46875,12.46875,12.3125,4.5523834228515625,12.4375,605400.0
1998-08-20,12.5,12.5625,12.4375,4.586696147918701,12.53125,1263800.0
1998-08-21,12.4375,12.625,12.40625,4.6210103034973145,12.625,918000.0
1998-08-24,12.6875,12.8125,12.65625,4.643887042999268,12.6875,755800.0
1998-08-25,12.71875,12.875,12.6875,4.712516784667969,12.875,1171600.0
1998-08-26,12.8125,12.84375,12.75,4.68964147567749,12.8125,692000.0
1998-08-27,12.8125,12.9375,12.78125,4.678202152252197,12.78125,1447200.0
1998-08-28,12.8125,12.8125,12.71875,4.68964147567749,12.8125,692200.0
1998-08-31,12.78125,12.78125,12.4375,4.655324459075928,12.71875,2624200.0
1998-09-01,12.59375,12.65625,12.28125,4.632449626922607,12.65625,892000.0
1998-09-02,12.53125,12.5625,12.3125,4.586696147918701,12.53125,2602000.0
1998-09-03,12.40625,12.53125,12.28125,4.575258731842041,12.5,534400.0
1998-09-04,12.5625,12.625,12.40625,4.59813404083252,12.5625,718600.0
1998-09-08,12.53125,12.65625,12.375,4.632449626922607,12.65625,397400.0
1998-09-09,12.65625,12.65625,12.5,4.6210103034973145,12.625,433400.0
1998-09-10,12.5625,12.6875,12.5,4.632449626922607,12.65625,654400.0
1998-09-11,12.5625,12.71875,12.46875,4.643887042999268,12.6875,464600.0
1998-09-14,12.75,12.875,12.6875,4.712516784667969,12.875,580600.0
1998-09-15,12.78125,13.21875,12.78125,4.815456390380859,13.15625,649800.0
1998-09-16,13.125,13.21875,13.03125,4.838335514068604,13.21875,2367000.0
1998-09-17,12.90625,13.03125,12.875,4.817904472351074,12.96875,3287600.0
1998-09-18,12.9375,13.1875,12.90625,4.8875579833984375,13.15625,683800.0
1998-09-21,13.15625,13.21875,13.03125,4.8875579833984375,13.15625,556400.0
1998-09-22,13.1875,13.25,13.03125,4.841121673583984,13.03125,817400.0
