datum,werte_ok,werte_fehler,dauer_sek,stale
2026-08-29,661,4,348,10
2026-08-29,660,5,243,9
2026-08-29,660,5,250,9
2026-08-30,660,5,249,9
2026-08-31,661,4,245,9
2026-09-01,661,4,288,10
2026-09-02,661,4,281,10
2026-09-03,661,4,231,10
2026-09-04,661,4,242,10
2026-09-05,661,4,229,10
2026-09-06,661,4,233,10
2026-09-07,661,4,242,10
2026-09-08,661,4,235,10
2026-09-09,661,4,255,10
2026-09-10,661,4,243,10
2026-09-11,661,4,242,10
2026-09-12,661,4,252,9
2026-09-13,661,4,239,10
2026-09-14,661,4,235,11
2026-09-15,661,4,234,10
2026-09-16,661,4,259,10
2026-09-17,661,4,283,11
2026-09-18,661,4,226,10
2026-09-19,661,4,238,10
2026-09-20,652,13,247,1
2026-09-21,653,12,261,1
2026-09-22,651,14,240,1
2026-09-23,652,13,230,1
2026-09-24,652,13,228,1
